"","svdPref","svdPlusPlusPref","userPref","itemPref"
"X4.1055326",1.6725560975173,2.85481921012371,1.09525770411192,4.4641732287857
"svdPref",2.24187231014544,1.65713768901499,4.77028938556425,1.33607520742693
"svdPref1",1.40176311689512,1.46044177866949,1.09496615328921,1.33607520742693
"X4.021769",1.40304347439682,2.11006608355401,1.09484599146589,1.33608407912734
"X4.1389785",1.41871084295866,1.44679677626053,1.09485367729575,1.33608407912734
"svdPref2",1.29473762404816,3.49027940603948,1.09485367520634,1.33608407912734
"X4.2096324",1.07811131500843,3.02185088483202,1.04968956123225,1.07261928290424
"X4.1828947",1.11356562860418,3.04035936633765,1.09419381294604,1.81632816693428
"X4.2268896",1.0980073457808,3.04126566137169,1.09442166824764,1.14895824982682
"X5.56967",1.48145404608035,3.03116978776172,1.89267896838649,1.12815127394925
