"","svdPref","svdPlusPlusPref","userPref","itemPref"
"pref1",2.24187231014544,3.49027940603948,4.77028938556425,4.4641732287857
"pref2",1.40176311689512,3.02185088483202,1.09496615328921,1.33607520742693
"pref3",1.29473762404816,2.85481921012371,1.09484599146589,1.33607520742693
"pref4",1.6725560975173,3.04126566137169,1.09525770411192,1.33608407912734
"pref5",1.40304347439682,3.04035936633765,1.09419381294604,1.33608407912734
"pref6",1.41871084295866,3.03116978776172,1.09442166824764,1.33608407912734
"pref7",1.28899573420623,2.86125315189238,1.04729881772339,1.28997166386684
"pref8",1.30103836786055,2.80583735648555,1.04968956300042,1.28997166386684
"pref_h",1.11356562860418,1.65713768901499,1.09485367729575,1.14895824982682
"pref_h_w",1.0980073457808,1.46044177866949,1.09485367520634,1.12815127394925
